venue,total_runs
Barabati Stadium,157.71428571428572
Brabourne Stadium,168.9090909090909
Buffalo Park,119.0
De Beers Diamond Oval,141.0
Dr DY Patil Sports Academy,136.2941176470588
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,125.72727272727273
Dubai International Cricket Stadium,146.0
Eden Gardens,143.0
Feroz Shah Kotla,147.84745762711864
Green Park,163.25
Himachal Pradesh Cricket Association Stadium,146.22222222222223
Holkar Cricket Stadium,158.4
JSCA International Stadium Complex,144.71428571428572
Kingsmead,138.2
M Chinnaswamy Stadium,145.46153846153845
"MA Chidambaram Stadium, Chepauk",151.85416666666666
Maharashtra Cricket Association Stadium,150.86666666666667
Nehru Stadium,125.8
New Wanderers Stadium,142.5
Newlands,112.57142857142857
OUTsurance Oval,129.5
"Punjab Cricket Association IS Bindra Stadium, Mohali",158.1818181818182
"Punjab Cricket Association Stadium, Mohali",150.62857142857143
"Rajiv Gandhi International Stadium, Uppal",146.9795918367347
"Sardar Patel Stadium, Motera",149.0
Saurashtra Cricket Association Stadium,162.7
Sawai Mansingh Stadium,143.12121212121212
Shaheed Veer Narayan Singh International Stadium,143.83333333333334
Sharjah Cricket Stadium,146.66666666666666
Sheikh Zayed Stadium,125.57142857142857
St George's Park,131.42857142857142
Subrata Roy Sahara Stadium,132.05882352941177
SuperSport Park,149.58333333333334
"Vidarbha Cricket Association Stadium, Jamtha",144.66666666666666
Wankhede Stadium,151.68421052631578
