match_id,bowler,wickets
616,A Zampa,6
83,Sohail Tanvir,6
98,A Mishra,5
265,I Sharma,5
13,AJ Tye,5
287,MM Patel,5
449,JP Faulkner,5
238,SL Malinga,5
119,A Kumble,5
313,RA Jadeja,5
438,JD Unadkat,5
91,L Balaji,5
43,JD Unadkat,5
321,AD Mascarenhas,5
325,SP Narine,5
19,B Kumar,5
416,JP Faulkner,5
257,Harbhajan Singh,5
532,Sandeep Sharma,4
112,Umar Gul,4
103,M Ntini,4
527,GB Hogg,4
478,RA Jadeja,4
107,JA Morkel,4
109,VY Mahesh,4
626,YS Chahal,4
90,CRD Fernando,4
627,DR Smith,4
471,PV Tambe,4
113,Sohail Tanvir,4
11,UT Yadav,4
619,MP Stoinis,4
620,CJ Jordan,4
250,Yuvraj Singh,4
466,L Balaji,4
470,MM Sharma,4
538,A Nehra,4
458,SP Narine,4
121,RP Singh,4
458,SL Malinga,4
287,BA Bhatt,4
290,RP Singh,4
534,D Wiese,4
467,RA Jadeja,4
12,S Badree,4
286,MR Marsh,4
541,SL Malinga,4
126,Kamran Khan,4
127,YA Abdulla,4
452,Z Khan,4
58,KV Sharma,4
531,JP Duminy,4
249,PC Valthaty,4
280,S Aravind,4
76,GD McGrath,4
523,Imran Tahir,4
517,Karanveer Singh,4
492,Yuvraj Singh,4
95,Shoaib Akhtar,4
487,B Kumar,4
294,BJ Hodge,4
296,PP Chawla,4
300,A Mishra,4
440,DJG Sammy,4
548,NM Coulter-Nile,4
545,PP Chawla,4
441,SP Narine,4
137,L Balaji,4
457,DJ Bravo,4
311,KK Cooper,4
310,AB Dinda,4
232,DE Bollinger,4
557,S Aravind,4
144,SB Jakati,4
141,SB Jakati,4
139,YA Abdulla,4
158,R Bhatia,4
557,MA Starc,4
233,A Kumble,4
563,RA Jadeja,4
170,Harbhajan Singh,4
570,CH Morris,4
402,A Mishra,4
560,SP Narine,4
174,A Kumble,4
43,S Kaul,4
385,UT Yadav,4
178,AD Mathews,4
608,AD Russell,4
148,A Singh,4
147,RG Sharma,4
52,Mohammed Siraj,4
374,M Morkel,4
382,SP Narine,4
604,AR Patel,4
316,MM Patel,4
365,A Chandila,4
370,SP Narine,4
190,M Muralitharan,4
35,Sandeep Sharma,4
579,DJ Bravo,4
319,MM Patel,4
319,KA Pollard,4
317,L Balaji,4
21,CH Morris,4
192,R Vinay Kumar,4
34,JP Faulkner,4
190,J Theron,4
583,A Mishra,4
201,SL Malinga,4
354,RJ Harris,4
349,P Negi,4
210,SK Warne,4
346,SL Malinga,4
338,KP Appanna,4
585,MJ McClenaghan,4
326,SK Trivedi,4
591,B Kumar,4
333,P Awana,4
633,SR Watson,4
633,DS Kulkarni,4
506,SP Narine,4
511,KV Sharma,4
629,R Ashwin,4
88,DW Steyn,3
86,A Nehra,3
90,DR Smith,3
75,ST Jayasuriya,3
74,Z Khan,3
520,JP Faulkner,3
10,JJ Bumrah,3
254,MM Patel,3
272,PP Ojha,3
272,JA Morkel,3
255,YK Pathan,3
255,Shakib Al Hasan,3
271,R Sharma,3
264,DE Bollinger,3
509,AR Patel,3
520,Anureet Singh,3
216,RJ Harris,3
323,S Nadeem,3
323,M Morkel,3
597,JJ Bumrah,3
24,MJ McClenaghan,3
592,NLTC Perera,3
592,KW Richardson,3
269,M Morkel,3
256,SW Tait,3
267,J Botha,3
7,KH Pandya,3
7,AS Rajpoot,3
260,SL Malinga,3
261,SK Trivedi,3
2,Imran Tahir,3
5,CH Morris,3
335,M Morkel,3
335,AC Thomas,3
332,MN Samuels,3
590,JJ Bumrah,3
590,Iqbal Abdulla,3
588,TG Southee,3
588,BB Sran,3
27,NM Coulter-Nile,3
27,CR Woakes,3
27,C de Grandhomme,3
215,PP Chawla,3
215,IK Pathan,3
328,A Mishra,3
325,PP Chawla,3
218,IK Pathan,3
217,R Vinay Kumar,3
30,AJ Tye,3
350,Azhar Mahmood,3
203,S Narwal,3
203,A Mishra,3
343,JA Morkel,3
343,Azhar Mahmood,3
342,RJ Peterson,3
340,P Awana,3
209,A Mishra,3
207,PP Ojha,3
27,YS Chahal,3
586,MM Sharma,3
586,M Ashwin,3
210,SK Trivedi,3
210,RP Singh,3
209,PJ Sangwan,3
20,YS Chahal,3
598,AB Dinda,3
597,MM Sharma,3
195,SW Tait,3
355,SL Malinga,3
355,RP Singh,3
353,M de Lange,3
199,Z Khan,3
199,SL Malinga,3
199,RP Singh,3
199,Harbhajan Singh,3
201,Z Khan,3
201,RS Bopara,3
584,UT Yadav,3
32,A Nehra,3
31,NM Coulter-Nile,3
364,BW Hilfenhaus,3
362,R Vinay Kumar,3
193,SW Tait,3
34,Basil Thampi,3
33,Imran Tahir,3
32,S Kaul,3
578,GB Hogg,3
358,SW Tait,3
322,Shakib Al Hasan,3
220,DW Steyn,3
219,SR Watson,3
320,M Muralitharan,3
320,DE Bollinger,3
222,R Ashwin,3
599,Imran Tahir,3
599,DS Kulkarni,3
376,A Ashish Reddy,3
184,P Kumar,3
184,A Kumble,3
374,UT Yadav,3
372,Z Khan,3
372,P Parameswaran,3
189,A Symonds,3
188,R Vinay Kumar,3
188,DW Steyn,3
369,UT Yadav,3
369,P Awana,3
578,AD Russell,3
34,KH Pandya,3
576,MJ McClenaghan,3
192,M Muralitharan,3
365,A Nehra,3
602,UT Yadav,3
602,CR Brathwaite,3
384,A Mishra,3
383,R Vinay Kumar,3
383,JJ Bumrah,3
380,R Ashwin,3
182,JM Kemp,3
379,DS Kulkarni,3
377,DS Kulkarni,3
376,R Vinay Kumar,3
575,A Nehra,3
573,SL Malinga,3
573,DJ Bravo,3
38,JD Unadkat,3
38,Imran Tahir,3
376,DW Steyn,3
37,MJ McClenaghan,3
42,AR Patel,3
40,CR Woakes,3
572,MJ McClenaghan,3
384,DW Steyn,3
179,WPUJC Vaas,3
224,A Nehra,3
316,SL Malinga,3
316,DW Steyn,3
315,Harmeet Singh,3
314,KK Cooper,3
227,JD Unadkat,3
226,KA Pollard,3
312,M Muralitharan,3
604,MM Sharma,3
602,Z Khan,3
395,MG Johnson,3
172,A Mishra,3
170,DP Nannes,3
570,AD Russell,3
44,Harbhajan Singh,3
43,BA Stokes,3
42,Sandeep Sharma,3
392,RP Singh,3
174,PP Ojha,3
172,RJ Harris,3
391,DJ Bravo,3
389,SK Trivedi,3
389,KK Cooper,3
388,I Sharma,3
386,MM Patel,3
385,KK Cooper,3
402,NLTC Perera,3
402,B Kumar,3
164,RP Singh,3
400,SP Narine,3
400,JH Kallis,3
400,Azhar Mahmood,3
165,A Mishra,3
164,Yuvraj Singh,3
397,JH Kallis,3
168,CK Langeveldt,3
167,P Kumar,3
45,UT Yadav,3
44,KV Sharma,3
564,MC Henriques,3
396,R Rampaul,3
396,CH Morris,3
604,S Kaushik,3
306,DL Vettori,3
412,Sandeep Sharma,3
155,YK Pathan,3
410,JP Faulkner,3
407,RP Singh,3
407,R Vinay Kumar,3
158,PJ Sangwan,3
406,RA Jadeja,3
161,B Lee,3
160,SK Warne,3
404,MM Sharma,3
563,MM Sharma,3
563,CH Morris,3
47,S Kaul,3
403,JP Faulkner,3
417,DS Kulkarni,3
155,RG Sharma,3
154,A Mishra,3
415,Azhar Mahmood,3
414,A Mishra,3
413,SP Narine,3
558,B Kumar,3
602,AD Russell,3
312,DAJ Bracewell,3
309,M Morkel,3
231,KA Pollard,3
307,R Ashwin,3
18,NM Coulter-Nile,3
17,SN Thakur,3
17,BA Stokes,3
605,JJ Bumrah,3
431,WD Parnell,3
430,RA Jadeja,3
430,PP Ojha,3
430,MG Johnson,3
429,P Awana,3
554,MA Starc,3
554,A Nehra,3
52,Rashid Khan,3
426,R Vinay Kumar,3
150,R Bhatia,3
148,RA Jadeja,3
425,DJ Bravo,3
422,MM Sharma,3
421,Harbhajan Singh,3
420,SR Watson,3
419,AB Dinda,3
139,Yuvraj Singh,3
138,Z Khan,3
437,L Balaji,3
141,DP Nannes,3
141,A Nehra,3
551,DJ Bravo,3
55,P Negi,3
55,HV Patel,3
54,SN Thakur,3
437,B Kumar,3
436,KK Cooper,3
435,NLTC Perera,3
145,A Singh,3
143,D du Preez,3
434,Harbhajan Singh,3
432,RP Singh,3
56,Washington Sundar,3
56,SN Thakur,3
547,DJ Bravo,3
440,Sandeep Sharma,3
232,RJ Harris,3
305,MM Patel,3
303,R Bhatia,3
236,A Singh,3
299,SR Watson,3
296,RJ Harris,3
236,SK Trivedi,3
293,PP Chawla,3
293,IK Pathan,3
613,A Nehra,3
612,MP Stoinis,3
611,SR Watson,3
451,AD Mathews,3
132,AM Nayar,3
130,YA Abdulla,3
450,SL Malinga,3
134,BJ Hodge,3
133,A Mishra,3
132,SL Malinga,3
132,LR Shukla,3
544,TA Boult,3
60,AB Agarkar,3
59,MG Johnson,3
446,JA Morkel,3
443,Harmeet Singh,3
549,MJ McClenaghan,3
58,JJ Bumrah,3
57,NM Coulter-Nile,3
127,IK Pathan,3
125,PJ Sangwan,3
125,L Balaji,3
543,MA Starc,3
542,RA Jadeja,3
541,MJ McClenaghan,3
541,B Kumar,3
540,MA Starc,3
456,Harbhajan Singh,3
128,SL Malinga,3
128,PP Ojha,3
128,DJ Bravo,3
454,RA Jadeja,3
454,DJ Bravo,3
453,Iqbal Abdulla,3
451,AG Murtaza,3
465,JD Unadkat,3
122,M Muralitharan,3
120,DL Vettori,3
124,SB Styris,3
539,Imran Tahir,3
64,M Kartik,3
538,YS Chahal,3
15,CH Morris,3
292,DS Kulkarni,3
292,Anand Rajan,3
240,Iqbal Abdulla,3
239,SB Wagh,3
288,S Aravind,3
285,DE Bollinger,3
14,B Kumar,3
616,A Nehra,3
277,SL Malinga,3
620,YS Chahal,3
110,Sohail Tanvir,3
115,MF Maharoof,3
472,Sandeep Sharma,3
472,SP Narine,3
472,PP Chawla,3
468,VR Aaron,3
115,SR Watson,3
65,SK Warne,3
534,Harbhajan Singh,3
115,MM Patel,3
119,AD Mascarenhas,3
118,SL Malinga,3
117,YK Pathan,3
466,B Kumar,3
105,Sohail Tanvir,3
476,JP Faulkner,3
475,Sandeep Sharma,3
111,RP Singh,3
111,P Kumar,3
532,UT Yadav,3
69,Harbhajan Singh,3
68,Shahid Afridi,3
613,Mustafizur Rahman,3
245,Z Khan,3
245,MS Gony,3
245,DW Steyn,3
244,WD Parnell,3
280,RJ Harris,3
280,CH Gayle,3
251,L Balaji,3
525,TA Boult,3
74,MS Gony,3
73,VRV Singh,3
101,Sohail Tanvir,3
101,SK Warne,3
99,SM Pollock,3
482,SR Watson,3
482,PV Tambe,3
481,KV Sharma,3
102,RP Singh,3
530,A Nehra,3
528,Imran Tahir,3
71,JDP Oram,3
102,DJ Bravo,3
478,MM Sharma,3
107,A Kumble,3
519,NM Coulter-Nile,3
519,A Nehra,3
78,Umar Gul,3
77,PP Chawla,3
508,Imran Tahir,3
494,MM Sharma,3
92,AB Dinda,3
491,PP Chawla,3
490,R Ashwin,3
95,LR Shukla,3
94,S Sreesanth,3
488,Sandeep Sharma,3
97,PP Chawla,3
96,DS Kulkarni,3
487,SR Watson,3
487,R Bhatia,3
265,DW Steyn,3
265,R Vinay Kumar,3
266,Iqbal Abdulla,3
625,AB Dinda,3
625,A Zampa,3
10,B Kumar,3
9,Z Khan,3
9,A Mishra,3
623,JJ Bumrah,3
515,MM Sharma,3
514,UT Yadav,3
514,Karanveer Singh,3
80,R Vinay Kumar,3
82,VY Mahesh,3
82,A Nehra,3
263,M Morkel,3
631,SP Narine,3
634,B Kumar,3
632,YS Chahal,3
636,CJ Jordan,3
84,PP Chawla,3
