bowler,balls,wickets,strike_rate,runs,average
AD Mascarenhas,308,19.0,16.210526315789473,365,19.210526315789473
DE Bollinger,576,37.0,15.567567567567568,716,19.35135135135135
SL Malinga,2558,154.0,16.61038961038961,3034,19.7012987012987
MF Maharoof,420,27.0,15.555555555555555,532,19.703703703703702
NM Coulter-Nile,563,36.0,15.63888888888889,739,20.52777777777778
MR Marsh,315,20.0,15.75,420,21.0
Imran Tahir,716,47.0,15.23404255319149,1002,21.319148936170212
MA Starc,580,34.0,17.058823529411764,725,21.323529411764707
Rashid Khan,324,17.0,19.058823529411764,368,21.647058823529413
B Kumar,1981,111.0,17.846846846846848,2410,21.71171171171171
SP Narine,1931,95.0,20.326315789473686,2085,21.94736842105263
BW Hilfenhaus,372,22.0,16.90909090909091,497,22.59090909090909
A Singh,473,28.0,16.892857142857142,639,22.821428571428573
YS Chahal,1191,70.0,17.014285714285716,1600,22.857142857142858
Sandeep Sharma,1225,71.0,17.253521126760564,1623,22.859154929577464
DJ Bravo,2018,122.0,16.540983606557376,2815,23.07377049180328
MM Patel,1355,74.0,18.31081081081081,1733,23.41891891891892
S Aravind,760,45.0,16.88888888888889,1057,23.488888888888887
JD Unadkat,980,56.0,17.5,1328,23.714285714285715
KK Cooper,576,33.0,17.454545454545453,789,23.90909090909091
A Nehra,1908,106.0,18.0,2537,23.933962264150942
RJ Harris,832,45.0,18.488888888888887,1085,24.11111111111111
A Kumble,965,45.0,21.444444444444443,1089,24.2
CH Morris,1008,54.0,18.666666666666668,1307,24.203703703703702
VY Mahesh,339,21.0,16.142857142857142,511,24.333333333333332
Azhar Mahmood,537,29.0,18.517241379310345,707,24.379310344827587
RE van der Merwe,443,21.0,21.095238095238095,515,24.523809523809526
A Mishra,2639,134.0,19.69402985074627,3305,24.66417910447761
Kuldeep Yadav,318,18.0,17.666666666666668,447,24.833333333333332
KW Richardson,317,18.0,17.61111111111111,450,25.0
MJ McClenaghan,926,54.0,17.14814814814815,1356,25.11111111111111
MM Sharma,1534,83.0,18.481927710843372,2088,25.156626506024097
DS Kulkarni,1416,76.0,18.63157894736842,1918,25.236842105263158
MG Johnson,1109,60.0,18.483333333333334,1522,25.366666666666667
GB Hogg,458,23.0,19.91304347826087,585,25.434782608695652
R Ashwin,2290,100.0,22.9,2552,25.52
SK Warne,1194,57.0,20.94736842105263,1465,25.70175438596491
DW Steyn,2064,92.0,22.434782608695652,2375,25.815217391304348
Shakib Al Hasan,921,43.0,21.41860465116279,1123,26.11627906976744
PP Chawla,2563,126.0,20.341269841269842,3315,26.30952380952381
P Negi,625,30.0,20.833333333333332,802,26.733333333333334
P Awana,747,39.0,19.153846153846153,1046,26.82051282051282
RP Singh,1775,90.0,19.72222222222222,2417,26.855555555555554
PP Ojha,1899,89.0,21.337078651685392,2399,26.95505617977528
Mustafizur Rahman,382,17.0,22.470588235294116,461,27.11764705882353
Harbhajan Singh,2919,127.0,22.984251968503937,3453,27.188976377952756
AR Patel,1251,58.0,21.56896551724138,1584,27.310344827586206
L Balaji,1512,76.0,19.894736842105264,2083,27.407894736842106
Harmeet Singh,525,26.0,20.192307692307693,713,27.423076923076923
R Sharma,928,40.0,23.2,1100,27.5
M Muralitharan,1528,64.0,23.875,1765,27.578125
KV Sharma,1034,49.0,21.102040816326532,1357,27.693877551020407
M Morkel,1629,77.0,21.155844155844157,2136,27.74025974025974
S Kaul,423,22.0,19.227272727272727,611,27.772727272727273
Z Khan,2200,102.0,21.568627450980394,2860,28.03921568627451
WD Parnell,572,26.0,22.0,731,28.115384615384617
Iqbal Abdulla,920,40.0,23.0,1125,28.125
JA Morkel,1723,85.0,20.270588235294117,2409,28.341176470588234
R Vinay Kumar,2104,103.0,20.42718446601942,2976,28.893203883495147
SR Watson,1861,86.0,21.63953488372093,2490,28.953488372093023
R Bhatia,1636,71.0,23.04225352112676,2059,29.0
SW Tait,473,23.0,20.565217391304348,668,29.043478260869566
DP Nannes,646,28.0,23.071428571428573,815,29.107142857142858
HV Patel,683,34.0,20.08823529411765,999,29.38235294117647
AD Russell,631,31.0,20.35483870967742,917,29.580645161290324
Yuvraj Singh,857,36.0,23.805555555555557,1068,29.666666666666668
AC Thomas,315,14.0,22.5,416,29.714285714285715
SK Trivedi,1506,65.0,23.16923076923077,1944,29.907692307692308
RG Sharma,332,15.0,22.133333333333333,449,29.933333333333334
JP Faulkner,1238,61.0,20.295081967213115,1849,30.311475409836067
AB Dinda,1516,69.0,21.971014492753625,2103,30.47826086956522
GD McGrath,324,12.0,27.0,366,30.5
S Sreesanth,880,40.0,22.0,1221,30.525
LR Shukla,314,15.0,20.933333333333334,458,30.533333333333335
UT Yadav,1940,91.0,21.318681318681318,2802,30.791208791208792
PJ Cummins,361,17.0,21.235294117647058,525,30.88235294117647
PV Tambe,660,28.0,23.571428571428573,866,30.928571428571427
RA Jadeja,1925,82.0,23.475609756097562,2540,30.975609756097562
JJ Bumrah,1044,46.0,22.695652173913043,1433,31.152173913043477
SB Jakati,1085,47.0,23.085106382978722,1474,31.361702127659573
DR Smith,539,26.0,20.73076923076923,825,31.73076923076923
DT Christian,712,30.0,23.733333333333334,956,31.866666666666667
KA Pollard,1199,56.0,21.410714285714285,1785,31.875
DL Vettori,777,28.0,27.75,894,31.928571428571427
KH Pandya,427,16.0,26.6875,518,32.375
STR Binny,540,21.0,25.714285714285715,686,32.666666666666664
J Botha,694,25.0,27.76,818,32.72
VR Aaron,844,38.0,22.210526315789473,1250,32.89473684210526
MC Henriques,890,38.0,23.42105263157895,1255,33.026315789473685
NLTC Perera,698,31.0,22.516129032258064,1031,33.25806451612903
TA Boult,335,15.0,22.333333333333332,500,33.333333333333336
PJ Sangwan,789,35.0,22.542857142857144,1180,33.714285714285715
IC Pandey,462,18.0,25.666666666666668,609,33.833333333333336
IK Pathan,2043,80.0,25.5375,2711,33.8875
Bipul Sharma,426,17.0,25.058823529411764,581,34.1764705882353
BB Sran,327,14.0,23.357142857142858,485,34.642857142857146
YK Pathan,1129,41.0,27.536585365853657,1421,34.65853658536585
A Symonds,527,20.0,26.35,694,34.7
Anureet Singh,388,17.0,22.823529411764707,594,34.94117647058823
JP Duminy,660,23.0,28.695652173913043,811,35.26086956521739
MS Gony,888,37.0,24.0,1317,35.5945945945946
S Nadeem,1115,37.0,30.135135135135137,1332,36.0
JH Kallis,1742,65.0,26.8,2348,36.12307692307692
R Dhawan,488,18.0,27.11111111111111,655,36.388888888888886
Ankit Sharma,361,12.0,30.083333333333332,442,36.833333333333336
P Kumar,2524,90.0,28.044444444444444,3342,37.13333333333333
I Sharma,1631,58.0,28.120689655172413,2291,39.5
JR Hopes,360,14.0,25.714285714285715,562,40.142857142857146
AB Agarkar,782,29.0,26.96551724137931,1174,40.48275862068966
AD Mathews,791,27.0,29.296296296296298,1095,40.55555555555556
RR Powar,426,13.0,32.76923076923077,538,41.38461538461539
CH Gayle,549,18.0,30.5,750,41.666666666666664
TG Southee,660,22.0,30.0,930,42.27272727272727
Pankaj Singh,300,11.0,27.272727272727273,472,42.90909090909091
AN Ahmed,344,12.0,28.666666666666668,515,42.916666666666664
GJ Maxwell,324,11.0,29.454545454545453,483,43.90909090909091
B Lee,875,25.0,35.0,1126,45.04
SK Raina,902,25.0,36.08,1133,45.32
M Kartik,1149,31.0,37.064516129032256,1418,45.74193548387097
VRV Singh,360,12.0,30.0,549,45.75
R McLaren,354,12.0,29.5,558,46.5
Mohammed Shami,625,18.0,34.72222222222222,960,53.333333333333336
HH Pandya,358,10.0,35.8,552,55.2
DJ Hussey,317,8.0,39.625,485,60.625
