venue,total_runs
Barabati Stadium,167.71428571428572
Brabourne Stadium,180.27272727272728
Buffalo Park,147.33333333333334
De Beers Diamond Oval,158.0
Dr DY Patil Sports Academy,146.64705882352942
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,158.0
Dubai International Cricket Stadium,148.85714285714286
Eden Gardens,154.08196721311475
Feroz Shah Kotla,161.63333333333333
Green Park,161.25
Himachal Pradesh Cricket Association Stadium,175.66666666666666
Holkar Cricket Stadium,156.8
JSCA International Stadium Complex,149.0
Kingsmead,152.0
M Chinnaswamy Stadium,167.8939393939394
"MA Chidambaram Stadium, Chepauk",166.02083333333334
Maharashtra Cricket Association Stadium,166.6
Nehru Stadium,146.8
New Wanderers Stadium,144.0
Newlands,139.42857142857142
OUTsurance Oval,135.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",164.0909090909091
"Punjab Cricket Association Stadium, Mohali",163.28571428571428
"Rajiv Gandhi International Stadium, Uppal",156.14285714285714
"Sardar Patel Stadium, Motera",163.16666666666666
Saurashtra Cricket Association Stadium,168.9
Sawai Mansingh Stadium,155.6969696969697
Shaheed Veer Narayan Singh International Stadium,146.33333333333334
Sharjah Cricket Stadium,158.16666666666666
Sheikh Zayed Stadium,147.42857142857142
St George's Park,159.0
Subrata Roy Sahara Stadium,147.64705882352942
SuperSport Park,154.83333333333334
"Vidarbha Cricket Association Stadium, Jamtha",149.33333333333334
Wankhede Stadium,163.94736842105263
