match_id,inning,batsman,batsman_runs
411,1,CH Gayle,175
60,1,BB McCullum,158
562,1,AB de Villiers,133
620,1,AB de Villiers,129
372,1,CH Gayle,128
206,1,M Vijay,127
36,1,DA Warner,126
516,1,V Sehwag,122
243,2,PC Valthaty,120
279,2,V Sehwag,119
68,1,A Symonds,117
557,1,CH Gayle,117
61,1,MEK Hussey,116
517,1,WP Saha,115
97,1,SE Marsh,115
171,1,MK Pandey,114
96,2,ST Jayasuriya,114
380,1,M Vijay,113
626,1,V Kohli,113
208,2,DPMD Jayawardene,110
620,1,V Kohli,109
363,1,RG Sharma,109
331,2,DA Warner,109
72,2,AC Gilchrist,109
611,2,V Kohli,108
587,2,Q de Kock,108
200,1,DA Warner,107
280,1,CH Gayle,107
296,1,AC Gilchrist,106
125,1,AB de Villiers,105
22,1,HM Amla,104
46,1,HM Amla,104
570,1,SR Watson,104
38,2,BA Stokes,103
326,1,AM Rahane,103
323,2,KP Pietersen,103
258,2,CH Gayle,102
9,1,SV Samson,102
601,1,SPD Smith,101
410,1,SR Watson,101
448,2,DA Miller,101
595,1,V Kohli,100
247,1,SR Tendulkar,100
521,1,BB McCullum,100
176,2,YK Pathan,100
425,1,SK Raina,100
505,2,LMP Simmons,100
438,1,V Kohli,99
435,1,SK Raina,99
518,1,RG Sharma,98
416,2,SR Watson,98
311,1,AM Rahane,98
137,1,SK Raina,98
41,2,RR Pant,97
49,2,SS Iyer,96
622,1,HM Amla,96
522,2,CH Gayle,96
466,1,GJ Maxwell,95
259,2,SE Marsh,95
408,2,V Sehwag,95
300,1,S Dhawan,95
418,1,MEK Hussey,95
513,2,CJ Anderson,95
307,1,M Vijay,95
460,2,GJ Maxwell,95
19,2,M Vohra,95
517,2,MK Pandey,94
206,2,NV Ojha,94
66,2,V Sehwag,94
69,1,KC Sangakkara,94
50,1,WP Saha,93
225,1,DPMD Jayawardene,93
635,2,DA Warner,93
40,2,RA Tripathi,93
185,2,ML Hayden,93
432,2,V Kohli,93
344,1,G Gambhir,93
3,2,CA Lynn,93
603,1,DA Warner,92
383,1,CH Gayle,92
418,2,MS Bisla,92
110,1,GC Smith,91
92,1,SC Ganguly,91
553,1,AM Rahane,91
537,1,DA Warner,91
588,2,DA Warner,90
507,2,DA Warner,90
486,1,GJ Maxwell,90
358,2,SR Watson,90
584,2,G Gambhir,90
615,2,M Vijay,89
381,2,MS Bisla,89
181,2,JH Kallis,89
306,1,CH Gayle,89
299,2,SR Watson,89
8,1,AB de Villiers,89
464,2,GJ Maxwell,89
219,1,SR Tendulkar,89
564,2,DA Miller,89
481,2,AB de Villiers,89
21,1,KS Williamson,89
149,1,ML Hayden,89
410,2,MEK Hussey,88
469,1,AJ Finch,88
204,1,SC Ganguly,88
208,1,CH Gayle,88
228,1,SE Marsh,88
333,2,CH Gayle,87
29,2,RV Uthappa,87
516,2,SK Raina,87
257,1,RG Sharma,87
377,2,DR Smith,87
339,2,V Sehwag,87
76,1,G Gambhir,86
335,1,JD Ryder,86
391,2,MEK Hussey,86
344,2,CH Gayle,86
112,2,SC Ganguly,86
454,1,MEK Hussey,86
623,1,KH Pandya,86
390,1,KD Karthik,86
392,2,CH Gayle,85
429,2,AC Gilchrist,85
605,2,RG Sharma,85
172,2,AC Gilchrist,85
